Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,1.19,N/A,N/A,N/A,N/A,N/A,BRG4_L_1
2,Captured,1.05,N/A,N/A,N/A,N/A,N/A,BRG4_W_1
3,Captured,1.16,N/A,N/A,N/A,N/A,N/A,BRG4_L_2
4,Captured,1.04,N/A,N/A,N/A,N/A,N/A,BRG4_W_2
5,Captured,1.37,N/A,N/A,N/A,N/A,N/A,BRG4_L_3
6,Captured,0.9,N/A,N/A,N/A,N/A,N/A,BRG4_W_3
7,Captured,1.32,N/A,N/A,N/A,N/A,N/A,BRG4_L_4
8,Captured,1.04,N/A,N/A,N/A,N/A,N/A,BRG4_W_4
9,Captured,1.23,N/A,N/A,N/A,N/A,N/A,BRG4_L_5
10,Captured,1.1,N/A,N/A,N/A,N/A,N/A,BRG4_W_5
11,Captured,1.06,N/A,N/A,N/A,N/A,N/A,BRG4_L_6
12,Captured,0.91,N/A,N/A,N/A,N/A,N/A,BRG4_W_6
13,Captured,1.24,N/A,N/A,N/A,N/A,N/A,BRG4_L_7
14,Captured,1.18,N/A,N/A,N/A,N/A,N/A,BRG4_W_7
15,Captured,1.24,N/A,N/A,N/A,N/A,N/A,BRG4_L_8
16,Captured,1.11,N/A,N/A,N/A,N/A,N/A,BRG4_W_8
17,Captured,1.26,N/A,N/A,N/A,N/A,N/A,BRG4_L_9
18,Captured,1.15,N/A,N/A,N/A,N/A,N/A,BRG4_W_9
19,Captured,1.28,N/A,N/A,N/A,N/A,N/A,BRG4_L_10
20,Captured,1.1,N/A,N/A,N/A,N/A,N/A,BRG4_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1.15,0.12,0.9,1.37,22.94,,,
