Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 1,0.82,N/A,N/A,N/A,N/A,N/A,BRP5_L_1
2,Captured 1,0.66,N/A,N/A,N/A,N/A,N/A,BRP5_W_1
3,Captured 1,0.98,N/A,N/A,N/A,N/A,N/A,BRP5_L_2
4,Captured 1,0.84,N/A,N/A,N/A,N/A,N/A,BRP5_W_2
5,Captured 1,0.78,N/A,N/A,N/A,N/A,N/A,BRP5_L_3
6,Captured 1,0.65,N/A,N/A,N/A,N/A,N/A,BRP5_W_3
7,Captured 1,0.92,N/A,N/A,N/A,N/A,N/A,BRP5_L_4
8,Captured 1,0.75,N/A,N/A,N/A,N/A,N/A,BRP5_W_4
9,Captured 1,0.97,N/A,N/A,N/A,N/A,N/A,BRP5_L_5
10,Captured 1,0.83,N/A,N/A,N/A,N/A,N/A,BRP5_W_5
11,Captured 1,0.97,N/A,N/A,N/A,N/A,N/A,BRP5_L_6
12,Captured 1,0.79,N/A,N/A,N/A,N/A,N/A,BRP5_W_6
13,Captured 1,0.89,N/A,N/A,N/A,N/A,N/A,BRP5_L_7
14,Captured 1,0.71,N/A,N/A,N/A,N/A,N/A,BRP5_W_7
15,Captured 1,0.96,N/A,N/A,N/A,N/A,N/A,BRP5_L_8
16,Captured 1,0.82,N/A,N/A,N/A,N/A,N/A,BRP5_W_8
17,Captured 1,0.89,N/A,N/A,N/A,N/A,N/A,BRP5_L_9
18,Captured 1,0.79,N/A,N/A,N/A,N/A,N/A,BRP5_W_9
19,Captured 1,0.91,N/A,N/A,N/A,N/A,N/A,BRP5_L_10
20,Captured 1,0.76,N/A,N/A,N/A,N/A,N/A,BRP5_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],0.83,0.1,0.65,0.98,16.69,,,
