Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,1.13,N/A,N/A,N/A,N/A,N/A,CRP6_L_1
2,Captured,0.94,N/A,N/A,N/A,N/A,N/A,CRP6_W_1
3,Captured,1.12,N/A,N/A,N/A,N/A,N/A,CRP6_L_2
4,Captured,0.93,N/A,N/A,N/A,N/A,N/A,CRP6_W_2
5,Captured,1.34,N/A,N/A,N/A,N/A,N/A,CRP6_L_3
6,Captured,1.04,N/A,N/A,N/A,N/A,N/A,CRP6_W_3
7,Captured,1.19,N/A,N/A,N/A,N/A,N/A,CRP6_L_4
8,Captured,1.07,N/A,N/A,N/A,N/A,N/A,CRP6_W_4
9,Captured,1,N/A,N/A,N/A,N/A,N/A,CRP6_L_5
10,Captured,0.86,N/A,N/A,N/A,N/A,N/A,CRP6_W_5
11,Captured,1.15,N/A,N/A,N/A,N/A,N/A,CRP6_L_6
12,Captured,0.99,N/A,N/A,N/A,N/A,N/A,CRP6_W_6
13,Captured,1.24,N/A,N/A,N/A,N/A,N/A,CRP6_L_7
14,Captured,0.99,N/A,N/A,N/A,N/A,N/A,CRP6_W_7
15,Captured,1.2,N/A,N/A,N/A,N/A,N/A,CRP6_L_8
16,Captured,0.96,N/A,N/A,N/A,N/A,N/A,CRP6_W_8
17,Captured,1.17,N/A,N/A,N/A,N/A,N/A,CRP6_L_9
18,Captured,1,N/A,N/A,N/A,N/A,N/A,CRP6_W_9
19,Captured,1.18,N/A,N/A,N/A,N/A,N/A,CRP6_L_10
20,Captured,0.96,N/A,N/A,N/A,N/A,N/A,CRP6_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1.07,0.12,0.86,1.34,21.46,,,
